"","text","sentiment"
"33","help left expensive headphones on flight 89 iad to lax today seat 2a no one answering lampf number at lax","negative"
"34","awaiting my return phone call just would prefer to use your online selfservice option ","negative"
"35","this is great news  america could start flights to hawaii by end of year httptcor8p2zy3fe4 via ","positive"
"36","nice rt  vibe with the moodlight from takeoff to touchdown httptcoy7o0unxtqp","neutral"
"37","moodlighting is the only way to fly best experience ever cool and calming ˇíú‚úà ","positive"
"38","done and done best airline around hands down","positive"
"39","when can i book my flight to hawaii","neutral"
"40","your chat support is not working on your site httptcovhp2gtdwpk","negative"
"41","view of downtown los angeles the hollywood sign and beyond that rain in the mountains httptcodw5nf0ibtr","positive"
"42","hey first time flyer next week  excited but im having a hard time getting my flights added to my elevate account help","negative"
"43","plz help me win my bid upgrade for my flight 227 laxgtsea  ˇçˇëçˇí‚úàÔè","neutral"
"44","i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires ","neutral"
"45","are flights leaving dallas for seattle on time feb 24","neutral"
"46","im for a good reason you rock","positive"
"47"," dream httptcooa2drfaoq2 httptcolwwdac2khx","neutral"
"48","wow this just blew my mind","positive"
"49","after last night  i think agree","neutral"
"50","all were entertaining","neutral"
"51","is flight on its way was supposed to take off 30 minutes ago website still shows on time not in flight thanks","neutral"
"52","julie andrews all the way though was very impressive no to ","positive"
"53","wish you flew out of atlanta soon","neutral"
"54","julie andrews hands down","neutral"
"55","will flights be leaving dallas for la on february 24th","neutral"
"56","hi im so excited about your 99 lgagtdal deal but ive been trying 2 book since last week amp the page never loads thx","negative"
"57","you know it need it on my spotify stat ","positive"
"58"," im lady gaga she is amazing ˇòö","positive"
"59"," carrie","neutral"
"60","new marketing song httpstcof2lfulcbq7 let us know what you think","neutral"
"61","julie andrews first but lady gaga wowd me last night carrie meh","neutral"
"62","i called a 34 weeks ago about adding 3 flights from to my elevatethey still havent shown uphelp","negative"
"63","all are great  but i have to go with ˇòçˇëú","neutral"
"64","sorry mary martin had it first","neutral"
"65"," love all three but you really cant beat the classics","positive"
"66","flight dal to dca 224 210pm tried to check in could not status please","neutral"
"67","heyyyy guyyyys been trying to get through for an hour can someone call me please ","negative"
"68","hi virgin im on hold for 4050 minutes  are there any earlier flights from la to nyc tonight earlier than 1150pm","negative"
"69","congrats on winning the award for best deals from an airline us httptcokj1iljaebv","positive"
"70","everything was fine until you lost my bag","negative"
"71","need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online","neutral"
"72","i emailed your customer service team let me know if you need the tracking number","neutral"
"73","hi i just booked a flight but need to add baggage how can i do this","neutral"
"74","your airline is awesome but your lax loft needs to step up its game 40 for dirty tables and floors httptcohy0vrfhjht","negative"
"75","not worried its been a great ride in a new plane with great crew all airlines should be like this","positive"
"76","awesome i flew yall sat morning any way we can correct my bill ","positive"
"77","or watch some of the best student films in the country at 35feet httptcokek5pdmgif","neutral"
"78","first time flying you all do you have a different ratepolicy for media bags thanks","neutral"
"79","what is going on with customer service is there anyway to speak to a human asap thank you","negative"
"80","what happened to doom","neutral"
"81","why cant you supp the biz traveler like  and have customer service like ","negative"
"82","ive applied more then once to be a member of the crew teamim  interested g","positive"
"83","youre the best whenever i begrudgingly use any other airline im delayed and late flight ","negative"
"84","i have no interesting flying with you after this i will cancelled flight my next four flights i planned","negative"
"85","it was a disappointing experience which will be shared with every business traveler i meet ","negative"
"86","i‚Äôm having trouble adding this flight my wife booked to my elevate account help httptcopx8hqoks3r","negative"
"87","cant bring up my reservation online using flight booking problems code","neutral"
"88","random q whats the distribution of elevate avatars i bet that kitty has a disproportionate share httptcoaptzpurop4","neutral"
"89","i lt3 flying va but life happens and i am trying to my trip jperhi  can you helpva home page will not let me ","neutral"
"90","why is the site down  when will it be back up","negative"
"91","you down with rnp yeah you know me","neutral"
"92","hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account","neutral"
"93","i like the tv and interesting video  just disappointed in cancelled flightled flight when other flights went out to jfk on saturday ","negative"
"94","just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly ","negative"
"95","why is flight redirected","neutral"
"96","is it me or is your website down  btw your new website isnt a great user experience  time for another redesign","negative"
"97","i cant check in or add a bag your website isnt working ive tried both desktop and mobile httptcoavyqdmpi1y","negative"
"98"," let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin ","negative"
"99","what is your phone number i cant find who to call about a flight reservation","negative"
"100","is anyone doing anything there today  website is useless and no one is answering the phone","negative"
"101","trying to add my boy prince to my ressie sf this thursday from lax httptcogsb2j3c4gm","neutral"
"102","why must a traveler miss a flight to late flight check a bag  i missed my morning appointments and you lost my business ","negative"
"103","check out new music httptcomarcnocwzn","neutral"
"104","hows a direct flight fllgtsfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight ","negative"
"105","your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp","negative"
"106"," amazing customer  service again ˇíïˇíï raeann in sf  shes the best ","positive"
"107","called your service line and was hung up on this is awesome ","negative"
"108","your site is tripping im trying to check in and im getting the plain text version i am reluctant to enter any card info","negative"
"109","i was scheduled for sfo 2 dal flight today changed to 24th due weather looks like flight still on","neutral"
"110","has getaway deals through may from 59 oneway lots of cool cities httptcotzzjhuibch ","positive"
"111","has getaway deals through may from 59 oneway lots of cool cities httptcorpdbpx3wnd ","neutral"
"112","has getaway deals through may from 59 oneway lots of cool cities httptcob2xi4yg5t8 ","positive"
"113","has getaway deals through may from 59 oneway lots of cool cities httptcoqdljhsloi5 ","neutral"
"114","have a great week ˇúû‚úà","positive"
"115","come back to already we need you to take us out of this horrible cold httptcoglxfwp6nqh","positive"
"116","should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop","negative"
"117","is the best airline i have flown oneasy to change your reservationhelpful representatives amp a comfortable flying experience","positive"
"118","and again another rep kicked butt naelah represents your team so beautifully thank you","positive"
"119","your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure","positive"
"120","love the team running gate e9 at las tonight waited for a delayed flight and they kept things entertaining","positive"
"121","use another browser amp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website","negative"
"122","and now the flight flight booking problems site is totally down folks what is the problem","negative"
"123","i like the customer service but a 40 min delay just for connecting passengers seems too long ","negative"
"124","thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight","positive"
"125","you have the absolute best team and customer service ever  every time i fly with you im delighted  thank you","positive"
"126","do you provide complimentary upgrades to first class if there are available seats","neutral"
"127","i need to change my flight thats scheduled in 9 hours and min wait time on phone im calling intern help","negative"
"128","completely awesome experience last month boslas nonstop thanks for such an awesome flight and depart time ","positive"
"129","how can i watch the on my jfkgtsfo flight","neutral"
"130","is flight cancelled flightled and what do i do if it is","neutral"
"131","you are failing your customers because your check in process does not link to tsa precheck","negative"
"132","us too terrible airline just gave us a hotel hotline number and said sorry","negative"
"133","has flight number from sfo to cabo san lucas arrived yet","neutral"
"134","your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline  shame on you","negative"
"135","another delayed flight ","negative"
"136","i need to register a service dog for a first class ticket from sfo gt dulles the phone queue is an hour or longer pls advise","negative"
"137","you rock for making it so i can watch on my flight ","positive"
"138"," dropped a track on you httpstcozv2pt6trk9","neutral"
"139","always xoxo","positive"
"140","why cant we book seats on your flights when we buy them or even during check in creates so much anxiety ","negative"
"141","youd think paying an extra bucks rt for luggage might afford you hiring an extra hand at ","negative"
"142","best customer service rep in the world takes the cake","positive"
"143","can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service ˇòÉ","neutral"
"144","please provide status for flight   i cant imagine its on time as the web indicates  dude to weather here andor dallas","negative"
"145","you have amazing staff amp super helpful as i just ran the they have spoiled me with comfort","positive"
"146","i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face ","negative"
"147","question is it not possible to book a seat for an infant under 2 its not giving me the option but we want a seat for him","negative"
"148","always have it together youre welcome rt  youre so welcome","positive"
"149","home to in back to  httptcovx9vbctdlf","positive"
"150","i dont understand why you need a dm to give me an answer on if you have a damaged luggage policy","negative"
"151","does that mean you dont have a policy for destroyed luggage","negative"
"152","is there special assistance if i travel alone w2 kids and 1 infant priority boarding","neutral"
"153","thank you for checking in tickets are purchased and customer is happy ","positive"
"154","is your website ever coming back online","neutral"
"155","  is flight from love field to sfo definitely cancelled flightled for monday february 23","neutral"
"156","is flight out of lga to dfw on time","neutral"
"157","my drivers license is expired by a little over a month can i fly friday morning using my expired license","neutral"
"158","having problems flight booking problems on the web site keeps giving me an error and to contact by phone  phone is 30 minute wait","negative"
"159","how do i reschedule my cancelled flightled flights online the change button is greyed out","negative"
"160","i rang but there is a wait for 35 minutes i can book the same ticket through a vendor fix your site","negative"
"161","got a flight we were told for 450 todaychecked my email and its for 450 tomorrow this is unacceptable","negative"
"162","our flight into lga was cancelled flighted were stuck in dallas i called to reschedule told i could get a flight for today12","negative"
"163","why dont any of the pairings include red wine only white is offered  ","negative"
"164","is the website down","negative"
"165"," your site seems a little wonked right now may want to have a look tried on two browsers no css httptco8qsqmm7kf2","negative"
"166","im disappointed that the agent at the designated silver status check in line closed to assist all pasengers","negative"
"167","plans to include austin to its dallas route  topnews arab httptcoaqzwecokk2","neutral"
"168","is it normal to receive no reply from central baggage ","negative"
"169","at logan airport and waiting to checkin for my 9am flight checkin desk not open  why","negative"
"170","to jump into the dallasaustin market  httptcoewwgi97gdx","neutral"
"171","beats eps views takes on va luv  investors business daily httptcoflwmgdahxu","neutral"
"172","lister to my show my on monday ","neutral"
"173","to begin dallasaustin in april  889 ketr httptcossuvwwkyhh","neutral"
"174","congrats you just got all my business from ewr to sfolax fuck you sfoewr was the clincher","negative"
"175"," i applied over 2 weeks ago havent heard back and im flying this week ","negative"
"176","id love to know what your policy is for damaged luggage","neutral"
"177","thank you for the follow","positive"
"178"," too many apologies you r the worse airlines dont even respond to your cudtomers","negative"
"179","shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me","negative"
"180","i dm you","neutral"
"181","can you please have flights in  sjc  i have no choice but to fly southwest to vegas ˇòˇò","neutral"
"182","too bad you say it takes 10 to 14 days via your confirmation email when i inquired after 3 weeks you claim 6 to 8 weeks","negative"
"183","flight from bos gt las tomorrow was cancelled flightled no notification wait times are 1 hour will you rebook on another airline","negative"
"184","ˇòû rt  you‚Äôve met your match got status on another airline upgrade restr httptcorhkamx9vf5 httptcopyalebgkjt","positive"
"185","only way to fly ","positive"
"186","if only you guys had flights from cmh","neutral"
"187","a lot of apologies being thrown out to customers from what i can seevery sad thanks for nothing worst airline ever","negative"
"188"," for all my flight stuff wrong and did nothing about it had ever","negative"
"189","having an issue finding a missing item on a plane can you help me find which airport my plane headed to next","neutral"
"190","you will match my status cool","positive"
"191","‚Äúyouve met your matchgot status on another airline upgrade  httptco‚Äù  ˇôâ","neutral"
"192","trying to book a flight with you guys and your website wont let me about to lose my business","negative"
"193","you suck","negative"
"194","thanks","positive"
"195","just dmd same issue persisting","negative"
"196","because we never recd cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids","negative"
"197","trying to book a flight amp your site is down ˇòÅ","negative"
"198","you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didnt do anything","negative"
"199","you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook   better","negative"
"200","i love your guys song were dancing to it for our high school dance revue","positive"
"201","your website is down and im trying to check in","negative"
"202","done thank you for the quick response apparently faster than sitting on hold ","positive"
"203","nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me","neutral"
"204","cool picture of another virginamerica plane off our wing what a site httptco5b2agfd8c4","positive"
"205","keep up the great work ","positive"
"206","my goodness your people field are amazing under pressure ‚ùÔèfrom texas in crisis please fly me to ny","positive"
"207","thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now ","positive"
"208","can you please get me to the new york area before monday afternoon","neutral"
"209","thanks so much for the awesome support you guys rock","positive"
"210","seats in row 8 dont recline should mention that on your website ","negative"
"211","flight delayed 2 hours in la due to mechanical problems handle like pros but you could have tossed us a free drink","negative"
"212","why cancelled flight flights today no precipitation to be scared of  ‚ùÑÔè‚ùÑÔè‚ùÑÔè","negative"
"213","twitter team you guys killed it for rescheduling me asap thank you","positive"
"214","you guys charged me to reschedule a flight that was then cancelled flighted and are now refusing to refund it whats the deal","negative"
"215","can‚Äôt access your website from safari on iphone 6 seems to work on mac and ipad need iphone to add passbook","negative"
"216","on ipad and iphone clicking the checkin link in the email i received at 24hrs before flight","neutral"
"217","your mobile site is broken shows 
headerelevateusernumofpointsavailable  0  number points wont let me checkin","negative"
"218","i was really looking forward to my flight can you let me know when it will be rescheduled ","negative"
"219","why cancelled flight flight  one sec its delayed on my to airport the next its cancelled flightledgonna email or call me to reschedule","negative"
"220","i did it but there was a problem in the link from the email for checkin thanks","negative"
"221","had to change to another airline to get to dc today  why is able to land in dc but not you cost me ugh","negative"
"222","i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one ","negative"
"223","when are you putting some great deals from pdx to las or from las to pdx show me your love httptcoeniqg0buzj","positive"
"224","wish i can afford to fly with you next friday  going back home love everything  about your airline","positive"
"225"," how are you gonna have a deal from dallas to dc but no deal from dc to dallas ","negative"
"226","it‚Äôs just a bug report guys","neutral"
"227","hold times at call center are a bit much","negative"
"228","like httptcovpqem31xuq","positive"
"229","site down ","negative"
"230","you have the best flight attendant ever httptcopxdel1nq3l","positive"
"231","awesome rt  watch nominated films at 35feet httptcodnstitrzwy","positive"
"232","thanks so much","positive"
"233","trying to reset my password email never arrives help","negative"
"234"," the only airline based in silicon valley  s httptcowu3lbcncr9","positive"
"235","very nicely done ˇëè","positive"
"236","i‚Äôm looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink ","positive"
"237","what is the reason  for the delay of the departure of vx from jfk this afternoon","negative"
"238","is todays flight from palm springs ca to jfk in ny cancelled flightled","negative"
"239","hahaha ˇòÇyou guys are amazing i love you guysˇíó","positive"
"240","sounds like fun ","positive"
"241","any updates on flight from jfk gt lax","neutral"
"242","spruce moose","neutral"
"243","the css on your site is a right now please fix site unusable","negative"
"244","were on flight vegas to boston today checked in online but our bag count didnt register can i fix that somehow","negative"
"245","classiq luv virgin america greetingz","positive"
"246","hi im trying to do checkin but the website is not working i tried 3 different browsers and the problem continues","negative"
"247","thanks for your great customer service today amp for helping me get all my travel sorted out","positive"
"248","thanks guys sweet route over the rockies ","positive"
"249","love the 90s music blasting at gate in while waiting for flight to  only if i could get an iced coffee","positive"
"250"," the passenger in 7d flt that assaulted me shouldnt have flown i trust hes banned crew filed report to ","negative"
"251","current bug on website shows ‚Äòselect departure city‚Äô when selecting destination city httptcosllyibe2vq","negative"
"252","luggage was severely dentedmissing wheel coming off baggage claim in san luggage agent miranda i think wasnt any help","negative"
"253","thank you for the easy itinerary shift for impending weather quick painless amp free","positive"
"254","if youd love to see more girls be inspired to become pilots rt our free woaw event march 28 at abq httptcorfxlv1kgdh","neutral"
"255","thanks good times there and back the entire flightˇç","positive"
"256","beats expectations shares take off  santa cruz sentinel httptcoqm9dqbai6g","neutral"
"257","any plans to start flying direct from dal to las","neutral"
"258","big lovegratitudempower w httptco1agr9kncpf werin vipswagbags httptcoybmbgs0dhn","neutral"
"259"," youre doing a great job adding little luxuriesaesthetics that improve the air travel experience thank you keep it up","positive"
"260","requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver memberˇòí","negative"
"261","grand budapest hotel ","neutral"
"262","this is what you missed  next trip to the ","neutral"
"263","i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience","negative"
"264","there is something wrong with you website in safari iphone","negative"
"265","thanks for gate checking my baggage on your full flight dfwlax and giving me early boarding too ","positive"
"266","already checked in so the page expired x","negative"
"267","boo for a not refunding a seat upgrade fee i did not want to buy in the first place","negative"
"268","shares rise on q4 financial results  usa today httptcolfs4pefe6y","neutral"
"269","adds pillows instead of lieflat seats in first class arms race httptcorgywjbbhm4","neutral"
"270","i see what you did there ","positive"
"271","way to take advantage of ","neutral"
"272","you know im flying virgin for the fight ","neutral"
"273","your inflight team makes the experience ","positive"
"274","cutest salt and pepper shaker ever just when i think you guys cant get any better you just do httptcovc6keulg2j","positive"
"275","moved my seat with no notice better seat is cabin select not behind the row i selectedˇëû ","negative"
"276","shares up on 4q results  httptcoxz6qeg3nef","neutral"
"277","fav airline","positive"
"278","we have a hot female pilot sweet dca to sfo ","positive"
"279","ˇëçˇëç‚úàÔè‚úàÔèˇíó when are you guys going to start flying to paris  youre welcome‚Äù","neutral"
"280","what is your policy on flying after surgery  i am still waiting for answer so i can tell me doctor","neutral"
"281","already contacted central baggage amp sent dm is charging me for the dress that was in the lost suitcase ","negative"
"282","thank you","positive"
"283","is there anything going on with the website ive been getting a lot of errors past 30 minutes","negative"
"284","i think i left something on the plane yesterday who do i callah","neutral"
"285","i need you to follow back in order to dm","neutral"
"286","need to start flying to   ˇòöˇòÄˇòÉˇòÑ","neutral"
"287","they told to check with the airline regulation first so that is why i contacted you","neutral"
"288","i have just checked in flight to sfo from lax amp been told as atlantic flying club gold i get no benefits","negative"
"289","husband and i ordered three drinks via my screen and they never came awesome","negative"
"290","soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence ","negative"
"291","what is your policy on flying after surgery","neutral"
"292","posts second consecutive fullyear net profit  httptcotvb5zbzvhg","neutral"
"293","funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this","negative"
"294","would love to do more for virgin just like i do for ","positive"
"295","results handily exceed forecasts  httptcogonmrwem6i","neutral"
"296","i applied for a position in and i was wondering if you guys received my application","neutral"
"297","achieves a second year of profitability despite revenue pressure   httptcozsuztnaijq","neutral"
"298","gives positive outlook but sees increased competition  httptcojeu7od3eyj","neutral"
"299","im trying to check into my 1050am ct flight tmm on the desktop website and its not working some sort of caching bug sos","negative"
"300","weather delays gt next few weeks  ","neutral"
"301","check the website before you go to the airport","neutral"
"302","do you guys know your checkin links from emails are broken httptco2npxb6obmr","negative"
"303","pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of about 5 degrees amp wthe windchill 8","neutral"
"304","loved it cant wait for mondays return flight mostly just to watch the inflight safety video again ","positive"
"305","lost my luggage 4 days ago on flight vx from lax to iad amp im calling every day no responseplease give me back my stuff","negative"
"306","the flight booking problems section of your website seems to be broken on chrome might wanna look into that","negative"
"307","hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more","positive"
"308","i mean probably inappropriate while on board but its on","positive"
"309","happy to spend the day together lets do this","positive"
"310","is saving my sanity right now httptcoeltboljul9","neutral"
"311","missed my flight how does standby work","neutral"
"312","they were very understanding and helped me out  thx ","positive"
"313","brought it all the way across the country today i see httptcotkauygcpms","neutral"
"314","thank you i absolutely will ˇòû","positive"
"315","looks like a broken link for your assets httpstcooardjjgrrd","negative"
"316","are you ready lets say it together noooo turbulence today ˇòò","neutral"
"317","the manage itinerary section of your website seems to be broken for me httpstco2pujvcelng","negative"
"318","cant check in your site looks like this every time it loads httptcokacy2awdbw","negative"
"319","can u help this ˇë needs urgent treatment inˇáˇá2y old battling cancer could u help with flights ˇíó","neutral"
"320","may start service to hawaii from this year httptcoypo7nyprzl ","neutral"
"321","other carriers are less than half price for a round trip fare i am stunned httptcoukdjjijrow","negative"
"322","wtf is happening in pdx late flight march such that one way from sfo is ","negative"
"323","add dtw and im sold","neutral"
"324","how about some free drinks on the flight back for the free promo","positive"
"325","thanks","positive"
"326","momma i made it ˇòÅˇòÅˇòÅ","neutral"
"327","please contact me about portfolio left on flight vx 27 from jfk to sfo tonite seat 7am need it returned call ","neutral"
"328","help i was on  flight  27 from jkf tonight seat 7c left portfolio need it back","neutral"
"329","seattle bound wifey got me the duffle for vday shes a keeper holla httptcojloiblnair","neutral"
"330","my luggage is gone ive filed my paperwork promised a callemail still no resolution or response from central luggage","negative"
"331","debbie baldwin gave a performance of the safety demo this evening on ","neutral"
"332","thanks","positive"
"333","thanks for taking care of on her flight ","positive"
"334","thanks for the lovely soft views to httptcocnctl7g1ef","positive"
"335","i requested a mileage challenge for status several weeks ago online but havent heard back how do i get help with this","negative"
"336","just trying to book tickets to nyc and facing super fun broken styling dont worry ill keep trying ","negative"
"337","many thanks for the follow

looking for any helpˇòç
ˇíóˇáˇáˇíóˇáˇáˇíó
ˇûÄˇúèˇûÄ httptcoujfs9zi6kd","neutral"
"338","nice lofty view  httptcof4tp0dawbd","neutral"
"339","applied for status match on feb 1 got confirmation email same day still no news though you guys have dropped ball late flightly ˇò","negative"
"340","is my new go to airline","neutral"
"341","
can you help in need of some help in 
ˇûÄˇáˇáˇûÄˇáˇáˇûÄ httptco","neutral"
"342","i adore you and am so looking forward to my flight to austin in two weeks","positive"
"343","i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience","positive"
"344","flight booking problems flight to uphold my status match  do taxes on ticket count as earned status points  ","neutral"
"345","trying to checkinbut looks like your site is down","negative"
"346","spending my birthday night with you daldca get me home","negative"
"347","sent a couple messages to the email you provided but to no avail will try again next year cheers","negative"
"348","first time flying virgin went to thanks for the smooth ride easily my new fav airline","positive"
"349","seriously though will there not be direct flights from sfofll in may","negative"
"350","its fine already done with my purchase but you should try it just go most of the way through then go back 3","negative"
"351","not really the experience i was hoping 4 i ws forced 2 check in a small carry on w nothing but empty cabin space on board","negative"
"352","
wjere is our luggage slow at lax","negative"
"353","to jump into the market httptcoszr0pioa21","neutral"
"354","i spoke with a representative that offered no solution i am a loyal customer who flies on as well","negative"
"355","i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email","negative"
"356","what happened to direct flights from sfofll looking in may only see connecting ","negative"
"357"," can you help left my blazer in kooples jacket bag at 3rd row second seat from right gate 36 t3 lax flight to sfo","neutral"
"358","partners with checkout as mobile payment method to help boost mobile conversion rates ","neutral"
"359","just promoting the product is all had a problem with southwest and recommend noneother than the best httptcotfanxbh1cf","positive"
"360","love you guys but pls get some direct routes las to aus","positive"
"361","i would like help with some flights please","neutral"
"362","bruh ‚Äú turn down for what ‚Äù","neutral"
"363","of course i work for and im obsessed with the entire virgin family","positive"
"364","ok first time flying with you tonight ","positive"
"365","digging the swanky pink mood lighting during the flight from nyc to sfo  just needs a cabaret singer  think about it","neutral"
"366","done but i need the receipt asap could you please help ","neutral"
"367","i have 2d and 3d embossed badges and patches superior to the ones you are currently using 
httptco3fq3xelbon","negative"
"368","on from jfk to la  dirty plane  not up to your standards","negative"
"369","on flight headed to la from jfk  dirtiest va plane i have ever been on sad for a great airline","negative"
"370","got it squared away someone picked up as soon as i tweeted should have tweeted sooner ˇòâ","positive"
"371","your avis rental continue button doesnt work on your website to book car tried 4 times on phone  this sucks","negative"
"372","delayed to1030","negative"
"373","currently in minute 10 of being on hold with cust service do i need to do anything to add a lap child to my reservation","negative"
"374","adds pillows instead of lieflat seats in first class arms race 
httptcosfjduahx9z by ","neutral"
"375","‚Äú of course have fun celebrating‚Äù thanks happy chinese new year","positive"
"376"," flight booking problems last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guys","positive"
"377","comenity bank is a joke  please change  nothing but constant problems with this bank","negative"
"378","i just did how can i dm do u have to also add me","neutral"
"379","for my grandma ellas 80th she would lt3 a bday greeting from your flight crew she was a stewardess for eastern airlines","positive"
"380","just bought tix for atx  dallas route  thanks for adding that love yr airline amp yr website is best transactional site ever","positive"
"381","anytime sugafly","neutral"
"382","gave a credit for my late flight flight yesterday great service  thats a wow moment unexpected gesture","positive"
"383","i need a receipt for a flight change can you send one","neutral"
"384"," i submitted a status match request a while back and still haven‚Äôt heard i‚Äôm flying on monday can you look  accelerate","negative"
"385","had me at their safety video    httptcocqmm7nue9m  loved my first cross country flight ","positive"
"386","that doesnt look to fat to me it looks yummy","positive"
"387","ceo says amp have strayed from low cost model
httptco96sctomh29","neutral"
"388","a brilliant brisk am in boston in cue for httptcormznivgmg6","neutral"
"389","atlantic ploughs a lone furrow in the httptcofvudmh27pf ","neutral"
"390","atlantic ploughs a lone furrow in the httptcodcobokn7ee ","neutral"
"391","atlantic ploughs a lone furrow in the httptcovw4p4t4tlh ","neutral"
"392","omg omgˇòçˇòç nonstop dallas to austin on virgin‚úˇò‚úàÔè","positive"
"393","your planes are really pretty just thought u should know that ","positive"
"394","when are you flying to hawaii","neutral"
"395","im pulling my hair out trying to book a flight with u your site doesnt work on iphone or ipaddont have a computer ","negative"
"396","thank you","positive"
"397","can i get some help with a support ticket its been 15 days incident thank you","negative"
"398","good to be home httptcon3bvzty3zi","positive"
"399","i cannot even open my laptop in seat 4c and i paid a premium for this   let me out of here","negative"
"400","i am in seat 4c and i cannot even open my laptop and i paid extra for this seat","negative"
"401","if only you guys were starting those flights at the end of the month guess i‚Äôm still road tripping on feb 27‚Ä","neutral"
"402","thanks for that been needing a way to make those austin trips from dca and now youve come through","positive"
"403","announced new route to austin wfares from 39way 
httptcoga8pbamu0c","neutral"
"404","really sprint i thought you guys were kewl 00","neutral"
"405","this is too cool  never been on ur planes but now i will","positive"
"406","you should have 39 dollar laxlas fares","neutral"
"407","great well deserved","positive"
"408","fyi the infocom email address you say to contact in password reset emails doesnt exist emails bounce","negative"
"409","status match  2 weeks have gone by and no newsflt next week  hope flt will count towards requirement  cust svc no help","negative"
"410","your website sucks donkey dicks just thought you should know all best","negative"
"411","you should still develop an app  then you will be my favorite airline","neutral"
"412","all crap channels which is why i pay to watch uk tv","negative"
"413","got it all set  thanks","positive"
"414","no as channel this year","neutral"
"415","only thing i see on passbook is virgin mobile mexico how do i integrate","neutral"
"416","giants and virgin america a match made in heaven","positive"
"417","thank goodness also see you friday nwkgtsf boom","positive"
