"","x"
"279","ˇëçˇëç‚úàÔè‚úàÔèˇíó when are you guys going to start flying to parisyoure welcome‚Äù"
"280","what is your policy on flying after surgeryi am still waiting for answer so i can tell me doctor"
"281","already contacted central baggage amp sent dm is charging me for the dress that was in the lost suitcase"
"282","thank you"
"283","is there anything going on with the website ive been getting a lot of errors pastminutes"
"284","i think i left something on the plane yesterday who do i callah"
"285","i need you to follow back in order to dm"
"286","need to start flying toˇòöˇòÄˇòÉˇòÑ"
"287","they told to check with the airline regulation first so that is why i contacted you"
"288","i have just checked in flight to sfo from lax amp been told as atlantic flying club gold i get no benefits"
"289","husband and i ordered three drinks via my screen and they never came awesome"
"290","soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence"
"291","what is your policy on flying after surgery"
"292","posts second consecutive fullyear net profit"
"293","funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this"
"294","would love to do more for virgin just like i do for"
"295","results handily exceed forecasts"
"296","i applied for a position in and i was wondering if you guys received my application"
"297","achieves a second year of profitability despite revenue pressure"
"298","gives positive outlook but sees increased competition"
"299","im trying to check into my am ct flight tmm on the desktop website and its not working some sort of caching bug sos"
"300","weather delays gt next few weeks"
"301","check the website before you go to the airport"
"302","do you guys know your checkin links from emails are broken"
"303","pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of aboutdegrees amp wthe windchill"
"304","loved it cant wait for mondays return flight mostly just to watch the inflight safety video again"
"305","lost my luggagedays ago on flight vx from lax to iad amp im calling every day no responseplease give me back my stuff"
"306","the flight booking problems section of your website seems to be broken on chrome might wanna look into that"
"307","hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more"
"308","i mean probably inappropriate while on board but its on"
"309","happy to spend the day together lets do this"
"310","is saving my sanity right now"
"311","missed my flight how does standby work"
"312","they were very understanding and helped me outthx"
"313","brought it all the way across the country today i see"
"314","thank you i absolutely will ˇòû"
"315","looks like a broken link for your assets"
"316","are you ready lets say it together noooo turbulence today ˇòò"
"317","the manage itinerary section of your website seems to be broken for me"
"318","cant check in your site looks like this every time it loads"
"319","can u help this ˇë needs urgent treatment inˇáˇáy old battling cancer could u help with flights ˇíó"
"320","may start service to hawaii from this year"
"321","other carriers are less than half price for a round trip fare i am stunned"
"322","wtf is happening in pdx late flight march such that one way from sfo is"
"323","add dtw and im sold"
"324","how about some free drinks on the flight back for the free promo"
"325","thanks"
"326","momma i made it ˇòÅˇòÅˇòÅ"
"327","please contact me about portfolio left on flight vxfrom jfk to sfo tonite seat am need it returned call"
"328","help i was onflightfrom jkf tonight seat c left portfolio need it back"
"329","seattle bound wifey got me the duffle for vday shes a keeper holla"
"330","my luggage is gone ive filed my paperwork promised a callemail still no resolution or response from central luggage"
"331","debbie baldwin gave a performance of the safety demo this evening on"
"332","thanks"
"333","thanks for taking care of on her flight"
"334","thanks for the lovely soft views to"
"335","i requested a mileage challenge for status several weeks ago online but havent heard back how do i get help with this"
"336","just trying to book tickets to nyc and facing super fun broken styling dont worry ill keep trying"
"337","many thanks for the follow

looking for any helpˇòç
ˇíóˇáˇáˇíóˇáˇáˇíó
ˇûÄˇúèˇûÄ"
"338","nice lofty view"
"339","applied for status match on febgot confirmation email same day still no news though you guys have dropped ball late flightly ˇò"
"340","is my new go to airline"
"341","can you help in need of some help in 
ˇûÄˇáˇáˇûÄˇáˇáˇûÄ"
"342","i adore you and am so looking forward to my flight to austin in two weeks"
"343","i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience"
"344","flight booking problems flight to uphold my status matchdo taxes on ticket count as earned status points"
"345","trying to checkinbut looks like your site is down"
"346","spending my birthday night with you daldca get me home"
"347","sent a couple messages to the email you provided but to no avail will try again next year cheers"
"348","first time flying virgin went to thanks for the smooth ride easily my new fav airline"
"349","seriously though will there not be direct flights from sfofll in may"
"350","its fine already done with my purchase but you should try it just go most of the way through then go back"
"351","not really the experience i was hopingi ws forcedcheck in a small carry on w nothing but empty cabin space on board"
"352","wjere is our luggage slow at lax"
"353","to jump into the market"
"354","i spoke with a representative that offered no solution i am a loyal customer who flies on as well"
"355","i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email"
"356","what happened to direct flights from sfofll looking in may only see connecting"
"357","can you help left my blazer in kooples jacket bag at rd row second seat from right gatet lax flight to sfo"
"358","partners with checkout as mobile payment method to help boost mobile conversion rates"
"359","just promoting the product is all had a problem with southwest and recommend noneother than the best"
"360","love you guys but pls get some direct routes las to aus"
"361","i would like help with some flights please"
"362","bruh ‚Äú turn down for what ‚Äù"
"363","of course i work for and im obsessed with the entire virgin family"
"364","ok first time flying with you tonight"
"365","digging the swanky pink mood lighting during the flight from nyc to sfojust needs a cabaret singerthink about it"
"366","done but i need the receipt asap could you please help"
"367","i have d and d embossed badges and patches superior to the ones you are currently using"
"368","on from jfk to ladirty planenot up to your standards"
"369","on flight headed to la from jfkdirtiest va plane i have ever been on sad for a great airline"
"370","got it squared away someone picked up as soon as i tweeted should have tweeted sooner ˇòâ"
"371","your avis rental continue button doesnt work on your website to book car triedtimes on phonethis sucks"
"372","delayed to"
"373","currently in minuteof being on hold with cust service do i need to do anything to add a lap child to my reservation"
"374","adds pillows instead of lieflat seats in first class arms race 
 by"
"375","‚Äú of course have fun celebrating‚Äù thanks happy chinese new year"
"376","flight booking problems last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guys"
"377","comenity bank is a jokeplease changenothing but constant problems with this bank"
"378","i just did how can i dm do u have to also add me"
"379","for my grandma ellas th she would lt a bday greeting from your flight crew she was a stewardess for eastern airlines"
"380","just bought tix for atxdallas routethanks for adding that love yr airline amp yr website is best transactional site ever"
"381","anytime sugafly"
"382","gave a credit for my late flight flight yesterday great servicethats a wow moment unexpected gesture"
"383","i need a receipt for a flight change can you send one"
"384","i submitted a status match request a while back and still haven‚Äôt heard i‚Äôm flying on monday can you lookaccelerate"
"385","had me at their safety videoloved my first cross country flight"
"386","that doesnt look to fat to me it looks yummy"
"387","ceo says amp have strayed from low cost model"
"388","a brilliant brisk am in boston in cue for"
"389","atlantic ploughs a lone furrow in the"
"390","atlantic ploughs a lone furrow in the"
"391","atlantic ploughs a lone furrow in the"
"392","omg omgˇòçˇòç nonstop dallas to austin on virgin‚úˇò‚úàÔè"
"393","your planes are really pretty just thought u should know that"
"394","when are you flying to hawaii"
"395","im pulling my hair out trying to book a flight with u your site doesnt work on iphone or ipaddont have a computer"
"396","thank you"
"397","can i get some help with a support ticket its beendays incident thank you"
"398","good to be home"
"399","i cannot even open my laptop in seat c and i paid a premium for thislet me out of here"
"400","i am in seat c and i cannot even open my laptop and i paid extra for this seat"
"401","if only you guys were starting those flights at the end of the month guess i‚Äôm still road tripping on feb ‚Ä"
"402","thanks for that been needing a way to make those austin trips from dca and now youve come through"
"403","announced new route to austin wfares from way"
"404","really sprint i thought you guys were kewl"
"405","this is too coolnever been on ur planes but now i will"
"406","you should havedollar laxlas fares"
"407","great well deserved"
"408","fyi the infocom email address you say to contact in password reset emails doesnt exist emails bounce"
"409","status matchweeks have gone by and no newsflt next weekhope flt will count towards requirementcust svc no help"
"410","your website sucks donkey dicks just thought you should know all best"
"411","you should still develop an appthen you will be my favorite airline"
"412","all crap channels which is why i pay to watch uk tv"
"413","got it all setthanks"
"414","no as channel this year"
"415","only thing i see on passbook is virgin mobile mexico how do i integrate"
"416","giants and virgin america a match made in heaven"
"417","thank goodness also see you friday nwkgtsf boom"
"418","how come you dont have an iphone app still using and making me waste paper"
"419","your back of seat entertainment system does not accept credit cards thathave an apostrophe in the surname"
"420","when will vx use alllga slots instead oftoday adding aus makes this less likely"
"421","is helping me step up my game"
"422","i luv ur people and productthing is y do u charge for herbal tea but not black tea im not a caffeine drinker"
"423","thank you see yall soon im excited to see the expansion of destinations spread those wings"
"424","announces new nonstop connecting ampintro"
"425","adds austindallas love field route"
"426","sad to learn you no longer fly sfo gt phl hope it returns"
"427","can you tweet me the cancelled flightchng fee for a flight or can i rebook under one of your affiliates if so who are afiliates"
"428","has the most incredible customer service ive ever experienced so refreshing"
"429","now when will we see virginamerica come to philadelphia phl"
"430","am i dreaming did you really just open up a route between dallas and austin and does this mean houston might be next"
"431","omg finally"
"432","to start xweekly flights from to on apr"
"433","nice to see you expanding in texas but dont forget about us here ini would love to see more flights out of here"
"434","kinda sucked my earphone jack didnt work on my flight they may want to look into that for future passengers"
"435","very poor experience first computer problem now seat malfunction stuck missing meeting in san diego"
"436","to battle on route 
 via"
"437","the dalaus route makes my day"
"438","awesome deals dalaus for onlyeach way"
"439","i miss the in san jose"
"440","love it taking on in their backyard consumers win when biz competes"
"441","‚Äã is flying from love to austin now that is most excellent news"
"442","can we make every vx plane withwhy should austin be the only one getting nerd love"
"443","please add more frequency to pdx portland"
"444","congrats vx on the new route ‚úàÔèˇûâ"
"445","i tried that you offered to charge me an additional k for a new ticket or be stranded until thurs st time last time"
"446","can u help with flights to get a y old battling cancer who needs treatment in ˇáˇá ˇíó ˇûÄ ˇíó"
"447","never had a bad experience before but this one took the cake now extortion for carry on items as well"
"448","had to spendhours worrying that items in carryon would be brokenstolen since i couldnt carry them on plane or lock bag"
"449","all of group e was told there was no more room in the bins when i got on the plane was room for at leastbags in my row"
"450","thanks for making my flight from lax to jfk a nightmare by forcing me to check my carry on bag at the gate"
"451","i have lots of flights to book and your site it not working ive been on the phone waiting for overminutes"
"452","i am all about the in flight artisanal cheese and wine pairing"
"453","does virgin america fly direct from seattle to nyc or boston"
"454","thats classy"
"455","im sure a lot of your and jfklhr flights go a lot faster than with a strong tailwind"
"456","now its just tminusminutes until my elevate a silver upgrade window opensˇòÉˇëç"
"457","save some for tomorrow am"
"458","why is it takingyears to fly home to dallas get your shit together"
"459","club virgin is bumping in new york"
"460","would have been a rough trip but luckily we were on a flight"
"461","is that ˇòÅ"
"462","please come to minneapolis st paul"
"463","yes fyimy bff"
"464","another perfect flighthow come on your planesthe sun visors can stay downother carriers make you raise them"
"465","nice rtthe man of steel might be faster but we have wifi ‚Äì just saying"
"466","i love the dancing little richard cool beans"
"467","i don‚Äôt use passbooki still love you though lti‚Äôll just use my email in the future"
"468","thanks for the free birthday points yall are all right with me"
"469","do you have an application for ios was looking and only saw virgin mexicolt"
"470","man of steel flies to more cities thoughand with more frequency too"
"471","thanks so much for sharing just added it to my site"
"472","good point"
"473","i heard he has a virgin mobile hotspot"
"474","you got cheese plate flights too"
"475","on all your flights"
"476","dad on segway is the best part of this whole infographic"
"477","are there any plans for a short haul airline in europe would defiantly fly with you guys"
"478","wifi and better seating"
"479","how come abc is the only one of the network channels you dont have"
"480","started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me"
"481","not only was it great but you return my calls the day after couldnt ask for more"
"482","while other airlines werent cancelled flighting flights into bos and helping their customers get home virgin was saying good luck"
"483","dear virgin customer while youre stranded in sf fordays ampwell do the very least we can to accommodate you"
"484","should use this in their next airline commercial lol"
"485","grouping virgin in with the others now bos weather has exposed their actual cus serv model never flight booking problems with virgin again"
"486","as one of the travelers affected by the boston storm im shocked at virgins complete apathy toward their customers"
"487","umm so no reason as to why this is is there someone different i should contact or contact me to get a definitive answer"
"488","trying to make the change in advance not justhours prior‚Ätried it online earlier and it wanted in change fees"
"489","so loyal that im driving to fromto fly virginsince you cut flights"
"490","any way to change from main cabin to main cabin select on same flight without paying a change fee penalty"
"491","you guys are perfect as always lt"
"492","thanks yall have some of the best customer service left in the industry"
"493","can you give me silver status formonths"
"494","really wish youd fly out of those fares are amazings"
"495","mood lighting on pointˇôú reclining my seat kickin up my feetˇí"
"496","my flightscheduled for pm departure still says on time but no plane at gate any update on how long of a delay"
"497","my group got their cancelled flightlation fees waived but i cant because my ticket is booked foryour reps were no help either ˇò"
"498","are there any sign up bonuses to enroll in elevate"
"499","just got on the pm in newark home to la your folks at ewr are incredible"
"500","morning if i have a question regarding elevate points amp flights can i dm you"
"501","still waiting to seeˇòû"
"502","was wondering if you guys recieved my dm and were able to potentially respond asap"
"503","flying lax to sfo and after looking at the awesome movie lineup i actually wish i was on a long haul"
"504","‚Äú book out of town with fares from way restrÄù"
"505","thanks"
"506","thanks for taking care of that mr happy customer"
"507","still no refund or word via dm please resolve this issue as your cancelled flightled flight was useless to my assistants trip"
"508","delayed due to lack of crew and now delayed again because theres a long line for deicing still need to improve service"
"509","thankswe filled it out hows our luck with this is it common"
"510","your eriord express connections are hugely popularnow if only we could have an eriewr hop"
"511","even on international flight glasgow to the us then what about orlando to newark allmins"
"512","you think you boarded flight too early i think so"
"513","i understand but its tough when there is no way to get to the airport wo serious risk of an accident its a steep price"
"514","gate agent hooked me up with alternate flights if you have a way to prevent the constant issues that would rock"
